# Solar Eclipse Obscuration file for 2017-08-21 19:05:00
grid,lat,lon,obsc
AP22,62.5,-175.0,0.0
AP23,63.5,-175.0,0.0
AP24,64.5,-175.0,0.0
AP25,65.5,-175.0,0.0
AP26,66.5,-175.0,0.0
AP27,67.5,-175.0,0.0
AP28,68.5,-175.0,0.0
AP29,69.5,-175.0,0.0
AQ20,70.5,-175.0,0.0
AQ21,71.5,-175.0,0.0
AQ22,72.5,-175.0,0.0
AQ23,73.5,-175.0,0.0
AQ24,74.5,-175.0,0.0
AQ25,75.5,-175.0,0.0
AQ26,76.5,-175.0,0.0
AQ27,77.5,-175.0,0.0
AQ28,78.5,-175.0,0.0
AQ29,79.5,-175.0,0.0
AR20,80.5,-175.0,0.0
AR21,81.5,-175.0,0.0
AR22,82.5,-175.0,0.0
AR23,83.5,-175.0,0.0
AR24,84.5,-175.0,0.0
AR25,85.5,-175.0,0.0
AR26,86.5,-175.0,0.0
AR27,87.5,-175.0,0.0
AR28,88.5,-175.0,0.0
AR29,89.5,-175.0,0.0
AA30,-89.5,-173.0,0.0
AA31,-88.5,-173.0,0.0
AA32,-87.5,-173.0,0.0
AA33,-86.5,-173.0,0.0
AA34,-85.5,-173.0,0.0
AA35,-84.5,-173.0,0.0
AA36,-83.5,-173.0,0.0
AA37,-82.5,-173.0,0.0
AA38,-81.5,-173.0,0.0
AA39,-80.5,-173.0,0.0
AB30,-79.5,-173.0,0.0
AB31,-78.5,-173.0,0.0
AB32,-77.5,-173.0,0.0
AB33,-76.5,-173.0,0.0
AB34,-75.5,-173.0,0.0
AB35,-74.5,-173.0,0.0
AB36,-73.5,-173.0,0.0
AB37,-72.5,-173.0,0.0
AB38,-71.5,-173.0,0.0
AB39,-70.5,-173.0,0.0
AC30,-69.5,-173.0,0.0
AC31,-68.5,-173.0,0.0
AC32,-67.5,-173.0,0.0
AC33,-66.5,-173.0,0.0
AC34,-65.5,-173.0,0.0
AC35,-64.5,-173.0,0.0
AC36,-63.5,-173.0,0.0
AC37,-62.5,-173.0,0.0
AC38,-61.5,-173.0,0.0
AC39,-60.5,-173.0,0.0
AD30,-59.5,-173.0,0.0
AD31,-58.5,-173.0,0.0
AD32,-57.5,-173.0,0.0
AD33,-56.5,-173.0,0.0
AD34,-55.5,-173.0,0.0
AD35,-54.5,-173.0,0.0
AD36,-53.5,-173.0,0.0
AD37,-52.5,-173.0,0.0
AD38,-51.5,-173.0,0.0
AD39,-50.5,-173.0,0.0
AE30,-49.5,-173.0,0.0
AE31,-48.5,-173.0,0.0
AE32,-47.5,-173.0,0.0
AE33,-46.5,-173.0,0.0
AE34,-45.5,-173.0,0.0
AE35,-44.5,-173.0,0.0
AE36,-43.5,-173.0,0.0
AE37,-42.5,-173.0,0.0
AE38,-41.5,-173.0,0.0
AE39,-40.5,-173.0,0.0
AF30,-39.5,-173.0,0.0
AF31,-38.5,-173.0,0.0
AF32,-37.5,-173.0,0.0
AF33,-36.5,-173.0,0.0
AF34,-35.5,-173.0,0.0
AF35,-34.5,-173.0,0.0
AF36,-33.5,-173.0,0.0
AF37,-32.5,-173.0,0.0
AF38,-31.5,-173.0,0.0
AF39,-30.5,-173.0,0.0
AG30,-29.5,-173.0,0.0
AG31,-28.5,-173.0,0.0
AG32,-27.5,-173.0,0.0
AG33,-26.5,-173.0,0.0
AG34,-25.5,-173.0,0.0
AG35,-24.5,-173.0,0.0
AG36,-23.5,-173.0,0.0
AG37,-22.5,-173.0,0.0
AG38,-21.5,-173.0,0.0
AG39,-20.5,-173.0,0.0
AH30,-19.5,-173.0,0.0
AH31,-18.5,-173.0,0.0
AH32,-17.5,-173.0,0.0
AH33,-16.5,-173.0,0.0
AH34,-15.5,-173.0,0.0
AH35,-14.5,-173.0,0.0
AH36,-13.5,-173.0,0.0
AH37,-12.5,-173.0,0.0
AH38,-11.5,-173.0,0.0
AH39,-10.5,-173.0,0.0
AI30,-9.5,-173.0,0.0
AI31,-8.5,-173.0,0.0
AI32,-7.5,-173.0,0.0
AI33,-6.5,-173.0,0.0
AI34,-5.5,-173.0,0.0
AI35,-4.5,-173.0,0.0
AI36,-3.5,-173.0,0.0
AI37,-2.5,-173.0,0.0
AI38,-1.5,-173.0,0.0
AI39,-0.5,-173.0,0.0
AJ30,0.5,-173.0,0.0
AJ31,1.5,-173.0,0.0
AJ32,2.5,-173.0,0.0
AJ33,3.5,-173.0,0.0
AJ34,4.5,-173.0,0.0
AJ35,5.5,-173.0,0.0
AJ36,6.5,-173.0,0.0
AJ37,7.5,-173.0,0.0
AJ38,8.5,-173.0,0.0
AJ39,9.5,-173.0,0.0
AK30,10.5,-173.0,0.0
AK31,11.5,-173.0,0.0
AK32,12.5,-173.0,0.0
AK33,13.5,-173.0,0.0
AK34,14.5,-173.0,0.0
AK35,15.5,-173.0,0.0
AK36,16.5,-173.0,0.0
AK37,17.5,-173.0,0.0
AK38,18.5,-173.0,0.0
AK39,19.5,-173.0,0.0
AL30,20.5,-173.0,0.0
AL31,21.5,-173.0,0.0
AL32,22.5,-173.0,0.0
AL33,23.5,-173.0,0.0
AL34,24.5,-173.0,0.0
AL35,25.5,-173.0,0.0
AL36,26.5,-173.0,0.0
AL37,27.5,-173.0,0.0
AL38,28.5,-173.0,0.0
AL39,29.5,-173.0,0.0
AM30,30.5,-173.0,0.0
AM31,31.5,-173.0,0.0
AM32,32.5,-173.0,0.0
AM33,33.5,-173.0,0.0
AM34,34.5,-173.0,0.0
AM35,35.5,-173.0,0.0
AM36,36.5,-173.0,0.0
AM37,37.5,-173.0,0.0
AM38,38.5,-173.0,0.0
AM39,39.5,-173.0,0.0
AN30,40.5,-173.0,0.0
AN31,41.5,-173.0,0.0
AN32,42.5,-173.0,0.0
AN33,43.5,-173.0,0.0
AN34,44.5,-173.0,0.0
AN35,45.5,-173.0,0.0
AN36,46.5,-173.0,0.0
AN37,47.5,-173.0,0.0
AN38,48.5,-173.0,0.0
AN39,49.5,-173.0,0.0
AO30,50.5,-173.0,0.0
AO31,51.5,-173.0,0.0
AO32,52.5,-173.0,0.0
AO33,53.5,-173.0,0.0
AO34,54.5,-173.0,0.0
AO35,55.5,-173.0,0.0
AO36,56.5,-173.0,0.0
AO37,57.5,-173.0,0.0
AO38,58.5,-173.0,0.0
AO39,59.5,-173.0,0.0
AP30,60.5,-173.0,0.0
AP31,61.5,-173.0,0.0
AP32,62.5,-173.0,0.0
AP33,63.5,-173.0,0.0
AP34,64.5,-173.0,0.0
AP35,65.5,-173.0,0.0
AP36,66.5,-173.0,0.0
AP37,67.5,-173.0,0.0
AP38,68.5,-173.0,0.0
AP39,69.5,-173.0,0.0
AQ30,70.5,-173.0,0.0
AQ31,71.5,-173.0,0.0
AQ32,72.5,-173.0,0.0
AQ33,73.5,-173.0,0.0
AQ34,74.5,-173.0,0.0
AQ35,75.5,-173.0,0.0
AQ36,76.5,-173.0,0.0
AQ37,77.5,-173.0,0.0
AQ38,78.5,-173.0,0.0
AQ39,79.5,-173.0,0.0
AR30,80.5,-173.0,0.0
AR31,81.5,-173.0,0.0
AR32,82.5,-173.0,0.0
AR33,83.5,-173.0,0.0
AR34,84.5,-173.0,0.0
AR35,85.5,-173.0,0.0
AR36,86.5,-173.0,0.0
AR37,87.5,-173.0,0.0
AR38,88.5,-173.0,0.0
AR39,89.5,-173.0,0.0
AA40,-89.5,-171.0,0.0
AA41,-88.5,-171.0,0.0
AA42,-87.5,-171.0,0.0
AA43,-86.5,-171.0,0.0
AA44,-85.5,-171.0,0.0
AA45,-84.5,-171.0,0.0
AA46,-83.5,-171.0,0.0
AA47,-82.5,-171.0,0.0
AA48,-81.5,-171.0,0.0
AA49,-80.5,-171.0,0.0
AB40,-79.5,-171.0,0.0
AB41,-78.5,-171.0,0.0
AB42,-77.5,-171.0,0.0
AB43,-76.5,-171.0,0.0
AB44,-75.5,-171.0,0.0
AB45,-74.5,-171.0,0.0
AB46,-73.5,-171.0,0.0
AB47,-72.5,-171.0,0.0
AB48,-71.5,-171.0,0.0
AB49,-70.5,-171.0,0.0
AC40,-69.5,-171.0,0.0
AC41,-68.5,-171.0,0.0
AC42,-67.5,-171.0,0.0
AC43,-66.5,-171.0,0.0
AC44,-65.5,-171.0,0.0
AC45,-64.5,-171.0,0.0
AC46,-63.5,-171.0,0.0
AC47,-62.5,-171.0,0.0
AC48,-61.5,-171.0,0.0
AC49,-60.5,-171.0,0.0
AD40,-59.5,-171.0,0.0
AD41,-58.5,-171.0,0.0
AD42,-57.5,-171.0,0.0
AD43,-56.5,-171.0,0.0
AD44,-55.5,-171.0,0.0
AD45,-54.5,-171.0,0.0
AD46,-53.5,-171.0,0.0
AD47,-52.5,-171.0,0.0
AD48,-51.5,-171.0,0.0
AD49,-50.5,-171.0,0.0
AE40,-49.5,-171.0,0.0
AE41,-48.5,-171.0,0.0
AE42,-47.5,-171.0,0.0
AE43,-46.5,-171.0,0.0
AE44,-45.5,-171.0,0.0
AE45,-44.5,-171.0,0.0
AE46,-43.5,-171.0,0.0
AE47,-42.5,-171.0,0.0
AE48,-41.5,-171.0,0.0
AE49,-40.5,-171.0,0.0
AF40,-39.5,-171.0,0.0
AF41,-38.5,-171.0,0.0
AF42,-37.5,-171.0,0.0
AF43,-36.5,-171.0,0.0
AF44,-35.5,-171.0,0.0
AF45,-34.5,-171.0,0.0
AF46,-33.5,-171.0,0.0
AF47,-32.5,-171.0,0.0
AF48,-31.5,-171.0,0.0
AF49,-30.5,-171.0,0.0
AG40,-29.5,-171.0,0.0
